"data_id","age","language","form","birth_order","ethnicity","sex","mom_ed","measure","vocab","demo","n","demo_label"
156,28,"English","WS","Third","Other","Female","Some College","production",361,"All Data",5498,"All Data (n = 5498)"
157,21,"English","WS","Third","Other","Female","Primary","production",3,"All Data",5498,"All Data (n = 5498)"
158,23,"English","WS","Third","Black","Male","Secondary","production",175,"All Data",5498,"All Data (n = 5498)"
159,20,"English","WS","Fourth","Hispanic","Male","Some Secondary","production",59,"All Data",5498,"All Data (n = 5498)"
160,29,"English","WS","Fifth","White","Female","Some College","production",182,"All Data",5498,"All Data (n = 5498)"
161,26,"English","WS","Second","Hispanic","Male","Some Secondary","production",458,"All Data",5498,"All Data (n = 5498)"
162,17,"English","WS","Second","Hispanic","Female","Some College","production",11,"All Data",5498,"All Data (n = 5498)"
163,25,"English","WS","Second","White","Female","Secondary","production",87,"All Data",5498,"All Data (n = 5498)"
164,17,"English","WS","Second","Black","Male","Secondary","production",55,"All Data",5498,"All Data (n = 5498)"
165,16,"English","WS","Third","Other","Female","College","production",72,"All Data",5498,"All Data (n = 5498)"
166,16,"English","WS","Third","Hispanic","Female","Secondary","production",16,"All Data",5498,"All Data (n = 5498)"
167,29,"English","WS","Second","Hispanic","Male","Secondary","production",63,"All Data",5498,"All Data (n = 5498)"
168,20,"English","WS","Sixth","White","Female","Graduate","production",148,"All Data",5498,"All Data (n = 5498)"
169,21,"English","WS","Fourth","Hispanic","Male","Secondary","production",131,"All Data",5498,"All Data (n = 5498)"
170,22,"English","WS","Second","White","Female","Some College","production",52,"All Data",5498,"All Data (n = 5498)"
171,28,"English","WS","Fourth","Hispanic","Female","Secondary","production",370,"All Data",5498,"All Data (n = 5498)"
172,17,"English","WS","Fourth","Other","Male","Secondary","production",226,"All Data",5498,"All Data (n = 5498)"
173,26,"English","WS","Third","Asian","Male","Secondary","production",456,"All Data",5498,"All Data (n = 5498)"
174,17,"English","WS","Fourth","Hispanic","Male","Some College","production",22,"All Data",5498,"All Data (n = 5498)"
175,16,"English","WS","Third","Other","Male","Secondary","production",36,"All Data",5498,"All Data (n = 5498)"
176,19,"English","WS","Third","Hispanic","Male","Primary","production",92,"All Data",5498,"All Data (n = 5498)"
177,21,"English","WS","Second","Hispanic","Female","Some Secondary","production",32,"All Data",5498,"All Data (n = 5498)"
178,16,"English","WS","Second","Black","Male","Some College","production",9,"All Data",5498,"All Data (n = 5498)"
179,26,"English","WS","Second","Other","Male","Some Secondary","production",54,"All Data",5498,"All Data (n = 5498)"
180,22,"English","WS","Third","White","Female","Secondary","production",327,"All Data",5498,"All Data (n = 5498)"
181,29,"English","WS","Second","Hispanic","Male","Secondary","production",369,"All Data",5498,"All Data (n = 5498)"
182,24,"English","WS","Second","White","Male","Secondary","production",34,"All Data",5498,"All Data (n = 5498)"
183,23,"English","WS","Second","White","Female","Some Secondary","production",66,"All Data",5498,"All Data (n = 5498)"
184,28,"English","WS","Second","Other","Female","Some Secondary","production",386,"All Data",5498,"All Data (n = 5498)"
185,20,"English","WS","Second","Other","Female","Secondary","production",190,"All Data",5498,"All Data (n = 5498)"
186,19,"English","WS","Second","Black","Male","Some College","production",23,"All Data",5498,"All Data (n = 5498)"
187,29,"English","WS","Second","Hispanic","Female","Some Secondary","production",297,"All Data",5498,"All Data (n = 5498)"
